Data Source,World Development Indicators,
,,
Last Updated Date,7/10/19,
,,
Country Name,Country Code,2017
Aruba,ABW,25630.26649
Afghanistan,AFG,556.3021385
Angola,AGO,4095.812942
Albania,ALB,4532.889198
Andorra,AND,39134.39337
Arab World,ARB,6284.737723
United Arab Emirates,ARE,40325.382
Argentina,ARG,14591.86338
Armenia,ARM,3914.501268
American Samoa,ASM,11398.77742
Antigua and Barbuda,ATG,15824.66781
Australia,AUS,54093.60219
Austria,AUT,47380.82964
Azerbaijan,AZE,4147.089716
Burundi,BDI,293.009062
Belgium,BEL,43507.2382
Benin,BEN,827.4298101
Burkina Faso,BFA,642.0404265
Bangladesh,BGD,1563.994082
Bulgaria,BGR,8228.01157
Bahrain,BHR,23715.48275
"Bahamas, The",BHS,31857.89015
Bosnia and Herzegovina,BIH,5394.59122
Belarus,BLR,5761.74712
Belize,BLZ,4956.808039
Bermuda,BMU,
Bolivia,BOL,3351.124053
Brazil,BRA,9880.946543
Barbados,BRB,16327.60723
Brunei Darussalam,BRN,28572.10942
Bhutan,BTN,3390.714075
Botswana,BWA,7893.675933
Central African Republic,CAF,471.6032278
Canada,CAN,45069.92725
Central Europe and the Baltics,CEB,14167.6491
Switzerland,CHE,80333.44494
Channel Islands,CHI,
Chile,CHL,15037.35011
China,CHN,8759.041578
Cote d'Ivoire,CIV,1557.182948
Cameroon,CMR,1421.587492
"Congo, Dem. Rep.",COD,467.0742375
"Congo, Rep.",COG,1702.571349
Colombia,COL,6375.932063
Comoros,COM,1312.366174
Cabo Verde,CPV,3295.341106
Costa Rica,CRI,11752.5436
Caribbean small states,CSS,9442.912794
Cuba,CUB,8541.210673
Curacao,CUW,19457.53152
Cayman Islands,CYM,56334.21399
Cyprus,CYP,25760.7627
Czech Republic,CZE,20379.89604
Germany,DEU,44681.08258
Djibouti,DJI,1953.903502
Dominica,DMA,6951.303542
Denmark,DNK,57218.85196
Dominican Republic,DOM,7222.554044
Algeria,DZA,4048.285258
East Asia & Pacific (excluding high income),EAP,7081.776379
Early-demographic dividend,EAR,3545.022221
East Asia & Pacific,EAS,10332.83226
Europe & Central Asia (excluding high income),ECA,7979.76034
Europe & Central Asia,ECS,23512.09436
Ecuador,ECU,6213.501276
"Egypt, Arab Rep.",EGY,2440.510173
Euro area,EMU,37034.08537
Eritrea,ERI,
Spain,ESP,28208.26105
Estonia,EST,20200.37559
Ethiopia,ETH,768.0104163
European Union,EUU,33864.16606
Fragile and conflict affected situations,FCS,1645.144457
Finland,FIN,45804.65421
Fiji,FJI,6006.360622
France,FRA,38679.12715
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3018.396899
Gabon,GAB,7212.535744
United Kingdom,GBR,39932.06029
Georgia,GEO,4045.41705
Ghana,GHA,2025.885857
Gibraltar,GIB,
Guinea,GIN,821.6514609
"Gambia, The",GMB,672.7805341
Guinea-Bissau,GNB,736.7255662
Equatorial Guinea,GNQ,9738.434224
Greece,GRC,18883.46007
Grenada,GRD,10163.62985
Greenland,GRL,
Guatemala,GTM,4470.610798
Guam,GUM,35664.50168
Guyana,GUY,4586.054572
High income,HIC,42346.17325
"Hong Kong SAR, China",HKG,46220.50455
Honduras,HND,2432.935364
Heavily indebted poor countries (HIPC),HPC,990.5868696
Croatia,HRV,13383.6835
Haiti,HTI,765.6139847
Hungary,HUN,14278.8745
IBRD only,IBD,6052.038611
IDA & IBRD total,IBT,4858.928339
IDA total,IDA,1345.324333
IDA blend,IDB,1733.460499
Indonesia,IDN,3836.913814
IDA only,IDX,1147.046624
Isle of Man,IMN,
India,IND,1981.499045
Not classified,INX,
Ireland,IRL,68941.80665
"Iran, Islamic Rep.",IRN,5627.749268
Iraq,IRQ,5143.661232
Iceland,ISL,71314.7742
Israel,ISR,40543.58417
Italy,ITA,32155.20587
Jamaica,JAM,5060.544924
Jordan,JOR,4168.641604
Japan,JPN,38331.9794
Kazakhstan,KAZ,9030.318806
Kenya,KEN,1568.201541
Kyrgyz Republic,KGZ,1242.769643
Cambodia,KHM,1385.25998
Kiribati,KIR,1625.57597
St. Kitts and Nevis,KNA,19060.57072
"Korea, Rep.",KOR,29742.83886
Kuwait,KWT,29474.54143
Latin America & Caribbean (excluding high income),LAC,8959.802025
Lao PDR,LAO,2423.846203
Lebanon,LBN,7838.343385
Liberia,LBR,698.7017644
Libya,LBY,5792.06511
St. Lucia,LCA,10003.25987
Latin America & Caribbean,LCN,9397.620709
Least developed countries: UN classification,LDC,1092.653966
Low income,LIC,766.5172164
Liechtenstein,LIE,
Sri Lanka,LKA,4104.630983
Lower middle income,LMC,2187.498829
Low & middle income,LMY,4743.063862
Lesotho,LSO,1232.786919
Late-demographic dividend,LTE,8943.25321
Lithuania,LTU,16809.64826
Luxembourg,LUX,104498.7387
Latvia,LVA,15684.55852
"Macao SAR, China",MAC,81208.88207
